epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4905.51,0.59868,0.34946,0.96514,0.97628,0.97678,0.99195,0.88003,0.66731,0.35453,1.06154,0.0095941,0.0095941,0.0095941
43,5021.79,0.5964,0.36122,0.96494,0.97966,0.97387,0.9897,0.86536,0.66747,0.35657,1.08705,0.0095842,0.0095842,0.0095842
44,5138.61,0.58966,0.34989,0.95456,0.95901,0.96387,0.98609,0.86474,0.65403,0.44865,1.06119,0.0095743,0.0095743,0.0095743
45,5255.72,0.58609,0.35402,0.96112,0.97109,0.9812,0.98965,0.87424,0.64813,0.36975,1.03369,0.0095644,0.0095644,0.0095644
46,5371.96,0.58913,0.35297,0.95896,0.96303,0.99517,0.99092,0.88148,0.65042,0.34473,1.03971,0.0095545,0.0095545,0.0095545
47,5488.95,0.57621,0.34651,0.9483,0.97217,0.9682,0.98958,0.8803,0.63201,0.34996,1.05154,0.0095446,0.0095446,0.0095446
48,5605.78,0.57531,0.34264,0.95105,0.9634,0.98598,0.99051,0.86802,0.67806,0.36054,1.08095,0.0095347,0.0095347,0.0095347
49,5723.57,0.57824,0.34698,0.95952,0.95956,0.9954,0.99208,0.88017,0.63803,0.31494,1.05884,0.0095248,0.0095248,0.0095248
50,5842.2,0.58132,0.34554,0.96004,0.96878,0.99401,0.99282,0.88195,0.64861,0.3218,1.04837,0.0095149,0.0095149,0.0095149
51,5959.48,0.58201,0.34972,0.95317,0.96071,0.98127,0.9909,0.87246,0.64479,0.36844,1.04364,0.009505,0.009505,0.009505
52,6076.3,0.57703,0.34861,0.95177,0.96679,0.98122,0.99124,0.87977,0.64725,0.3491,1.065,0.0094951,0.0094951,0.0094951
53,6192.33,0.56741,0.34006,0.95349,0.96726,0.99101,0.99208,0.87597,0.64688,0.33607,1.05708,0.0094852,0.0094852,0.0094852
54,6308.59,0.57256,0.34635,0.95326,0.95384,0.97518,0.98865,0.87837,0.63263,0.42349,1.03508,0.0094753,0.0094753,0.0094753
